cpu_request,mem_request,cpu_limit,mem_limit,runtime_minutes,cpu_usage,ck_DaemonSet,ck_Job,ck_ReplicaSet,ck_ReplicationController,ck_StatefulSet,ck_UNKNOWN
0.0,0,0.0,0,10727.06827,0.00212855039,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0,0.0,0,10724.36827,0.01171723553,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0,0.0,0,10726.2516,0.003348349849,0.0,0.0,1.0,0.0,0.0,0.0
0.1,2147483648,1.0,3221225472,10725.01827,0.007742817916,0.0,0.0,0.0,0.0,1.0,0.0
0.1,50000000,0.2,100000000,5760.718267,0.1490025753,1.0,0.0,0.0,0.0,0.0,0.0
0.2,134217728,0.5,268435456,10722.9516,0.0001647350072,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0,0.0,0,10726.13493,6.32e-06,0.0,0.0,1.0,0.0,0.0,0.0
0.1,134217728,0.3,268435456,10725.18493,0.0008406247201,0.0,0.0,1.0,0.0,0.0,0.0
0.005,26214400,0.02,104857600,111.0849333,0.0007769647477,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0,0.0,0,10726.01827,0.004029391086,0.0,0.0,1.0,0.0,0.0,0.0
0.02,536870912,0.1,1073741824,10720.4016,0.0001747490202,0.0,0.0,1.0,0.0,0.0,0.0
0.05,268435456,0.5,536870912,8028.9016,0.002755387889,0.0,0.0,1.0,0.0,0.0,0.0
16.384,68719476736,24.576,137438953472,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.1,50000000,0.2,100000000,10720.89543,0.04679748003,1.0,0.0,0.0,0.0,0.0,0.0
0.1,268435456,0.5,1073741824,10727.2121,0.01244338396,1.0,0.0,0.0,0.0,0.0,0.0
0.2,67108864,0.5,134217728,10723.77877,0.01663097341,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0,0.0,0,10723.9121,0.0007397862253,1.0,0.0,0.0,0.0,0.0,0.0
0.1,2147483648,1.0,3221225472,10724.6121,0.007223561869,0.0,0.0,0.0,0.0,1.0,0.0
0.005,20971520,0.05,104857600,10724.1121,0.0003735613019,0.0,0.0,1.0,0.0,0.0,0.0
0.01,33554432,0.1,67108864,10726.04543,0.0001479224458,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0,0.0,0,10725.1121,0.006720816654,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0,0.0,0,10723.79543,0.001578858932,0.0,0.0,0.0,0.0,1.0,0.0
0.512,1073741824,1.024,2147483648,10724.0121,0.01397568426,0.0,0.0,1.0,0.0,0.0,0.0
0.1,1073741824,0.3,4294967296,10727.1621,0.05513684943,0.0,0.0,1.0,0.0,0.0,0.0
0.1,2147483648,1.0,3221225472,10722.54543,0.007829328064,0.0,0.0,0.0,0.0,1.0,0.0
0.8,536870912,1.0,1073741824,10723.07877,0.0005239419048,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0,0.0,0,437.1954333,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,1073741824,4.0,4294967296,10722.9621,0.006513054115,0.0,0.0,1.0,0.0,0.0,0.0
0.01,33554432,0.1,67108864,10720.9121,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.1,67108864,0.2,134217728,10446.44543,0.008192706762,1.0,0.0,0.0,0.0,0.0,0.0
0.02,67108864,0.2,134217728,10720.34543,0.003222546189,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0,0.0,0,10724.02877,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.5,536870912,1.0,1073741824,10722.99543,0.03120497156,0.0,0.0,0.0,0.0,1.0,0.0
0.1,134217728,0.1,1073741824,10724.99543,0.09034506106,0.0,0.0,1.0,0.0,0.0,0.0
0.01,268435456,0.1,536870912,10723.06827,0.0003016968182,0.0,0.0,1.0,0.0,0.0,0.0
